age,gender,work_experience,canada_workex,dep_num,canada_born,citizen_status,level_of_schooling,fluent_english,reading_english_scale,speaking_english_scale,writing_english_scale,numeracy_scale,computer_scale,transportation_bool,caregiver_bool,housing,income_source,felony_bool,attending_school,currently_employed,substance_use,time_unemployed,need_mental_health_support_bool,employment_assistance,life_stabilization,retention_services,specialized_services,employment_related_financial_supports,employer_financial_supports,enhanced_referrals,success_rate
31,1,13,8,3,1,1,14,4,4,5,4,6,8,1,1,4,1,1,1,1,1,2,0,1,0,1,1,1,0,1,63
18,0,0,0,3,0,1,8,8,7,7,8,6,3,0,0,6,9,0,1,0,0,2,0,0,1,1,0,0,1,0,42
44,1,25,11,3,1,0,12,9,8,9,8,8,8,0,0,5,9,1,0,1,1,5,1,1,1,0,1,1,1,0,77
24,0,5,2,1,1,0,10,6,5,6,5,5,3,0,1,3,7,1,1,0,0,4,1,1,0,0,1,0,1,0,53
37,0,16,12,1,0,0,8,7,8,6,6,4,5,1,1,3,5,1,1,1,1,0,1,0,1,0,0,0,1,0,51
28,0,9,7,2,1,1,10,4,3,5,4,4,7,1,0,1,5,1,0,0,1,5,1,0,0,1,1,0,0,1,54
36,1,16,9,1,0,1,6,7,7,8,8,9,9,0,0,9,1,0,0,1,1,7,0,0,0,0,1,0,0,1,62
35,1,17,11,2,0,1,12,5,4,6,5,7,3,1,0,9,6,1,1,0,1,3,1,1,1,0,0,0,1,1,55
27,1,6,2,2,1,0,12,5,6,6,6,6,7,0,0,5,8,0,1,1,1,3,1,0,0,0,0,1,1,1,61
31,0,12,4,2,1,1,12,7,7,7,8,5,5,0,1,7,4,1,0,1,0,0,0,1,0,1,1,1,1,0,63
36,1,15,8,0,1,1,8,5,4,4,6,9,8,1,1,9,7,1,0,1,1,1,1,0,0,0,0,0,0,0,62
22,1,4,3,4,1,0,10,5,5,6,6,6,7,0,0,4,7,1,0,1,0,6,0,0,0,0,0,1,1,1,45
37,0,17,5,2,0,0,12,5,4,4,4,7,6,0,1,8,5,1,0,0,1,6,0,1,0,1,1,1,1,0,64
21,0,0,0,4,1,0,6,7,8,8,6,6,7,1,0,5,9,1,0,1,0,5,1,0,1,1,0,0,1,0,37
24,1,3,1,4,1,1,14,5,5,4,6,3,4,1,0,5,3,1,0,1,0,2,1,0,0,1,1,0,0,0,42
34,1,14,12,3,0,1,12,8,8,9,7,4,4,0,1,9,6,1,0,1,1,7,0,0,1,0,1,1,1,0,73
36,0,17,7,2,0,0,10,4,3,5,5,3,8,0,0,1,1,0,1,0,1,2,1,0,1,0,0,1,1,1,47
28,0,8,3,4,1,0,14,7,8,7,6,9,6,1,1,9,3,1,1,0,1,7,1,0,0,0,1,0,1,1,68
26,0,7,2,0,0,1,14,8,9,8,7,5,4,0,1,1,5,1,1,0,0,2,1,0,0,1,0,0,0,0,54
24,1,3,2,3,0,0,10,4,4,4,5,6,8,1,1,4,5,0,0,1,1,5,0,0,1,1,0,0,0,0,58
31,1,11,4,1,0,1,10,4,5,4,3,7,5,1,1,5,5,1,1,1,0,7,0,1,1,1,0,0,0,0,53
33,1,12,3,0,1,1,14,7,8,6,7,6,8,0,1,6,1,1,0,0,1,2,1,0,1,1,0,1,1,1,69
28,1,10,4,4,1,1,10,5,4,4,5,8,6,1,0,2,1,0,0,0,1,0,1,0,0,0,1,1,1,0,54
24,1,5,1,3,1,1,12,9,10,10,10,7,7,0,1,2,9,0,1,1,1,0,1,0,1,0,1,0,0,1,64
26,0,5,3,1,0,1,12,8,8,8,7,6,7,1,1,9,8,0,1,0,0,7,1,0,0,1,1,0,0,0,71
36,1,17,6,4,0,0,10,5,6,4,6,3,5,1,1,5,7,0,0,0,0,5,1,0,1,1,0,0,1,0,53
31,0,11,5,3,1,1,6,5,6,5,5,9,5,1,0,1,5,0,1,0,1,7,0,1,1,1,1,0,1,0,43
32,1,13,5,3,0,1,10,8,7,7,9,8,9,1,0,3,5,1,0,1,1,1,1,0,1,0,0,0,0,0,69
38,1,20,14,2,1,0,14,4,5,3,5,8,4,0,1,4,1,1,1,1,1,2,0,0,1,1,0,1,0,1,67
31,0,11,7,3,0,1,14,7,8,6,6,3,8,1,0,5,3,0,1,1,0,3,0,0,1,0,0,0,0,0,68
31,1,13,5,0,0,0,8,9,10,9,9,3,4,1,0,9,4,0,1,1,0,6,1,1,0,1,1,1,1,1,51
32,0,13,5,1,0,1,8,7,7,8,6,4,5,0,1,2,3,1,0,1,0,6,0,0,1,1,1,1,1,0,42
21,1,0,0,3,1,1,8,9,10,9,10,6,8,0,0,8,7,1,0,1,0,4,0,1,0,0,0,1,1,1,37
30,1,11,7,2,0,1,12,5,4,5,4,7,4,1,0,3,1,0,1,0,1,6,0,1,0,1,1,0,0,0,65
18,0,0,0,3,0,0,8,4,3,3,4,4,9,0,0,5,2,0,0,0,1,1,1,0,1,1,1,0,1,0,38
22,0,3,1,2,1,0,10,6,5,5,7,5,8,0,1,3,9,0,1,0,0,7,1,1,0,1,1,1,1,1,46
18,0,0,0,0,0,1,8,7,6,6,8,8,3,0,0,9,5,0,0,1,0,4,0,1,0,1,1,0,1,1,54
29,1,11,8,1,0,0,8,7,6,7,8,3,7,0,0,3,3,0,1,1,1,1,0,1,0,0,0,1,0,0,56
29,1,8,3,0,1,0,6,7,8,6,6,6,7,1,1,7,7,1,0,0,0,0,0,1,0,0,0,0,1,1,51
25,1,4,1,2,1,1,10,8,8,9,8,4,3,0,1,4,9,1,1,1,1,7,1,0,0,0,0,0,1,0,46
42,0,21,6,3,1,0,10,8,9,8,9,7,7,1,0,4,6,1,1,0,1,7,1,0,0,0,0,0,0,1,79
27,0,7,2,2,0,1,12,4,3,4,3,9,3,0,0,9,4,1,0,0,0,2,1,0,0,1,0,1,0,1,53
21,0,1,0,1,1,1,6,8,9,7,9,6,3,0,1,8,8,0,1,0,0,7,1,1,0,0,0,0,1,0,28
45,0,24,12,1,0,0,8,7,8,6,8,7,5,0,0,6,2,0,1,1,1,5,1,1,0,0,0,0,1,0,67
24,1,6,4,2,1,0,12,7,7,8,8,6,4,0,1,5,9,1,1,0,0,1,1,0,0,1,1,0,0,1,45
23,1,4,1,3,0,1,10,8,9,8,7,9,5,1,0,3,8,0,1,0,0,6,0,1,0,1,0,0,1,0,62
20,1,1,0,2,1,1,12,5,4,4,6,8,4,0,1,7,6,1,0,1,1,6,1,0,0,0,1,0,0,0,43
43,1,22,11,3,0,0,8,5,5,5,5,6,6,1,0,5,6,0,1,0,1,7,0,1,1,0,1,0,0,1,71
23,0,5,3,4,1,0,12,7,7,8,7,9,4,1,1,4,6,1,0,0,0,1,0,0,0,0,0,0,0,0,55
25,0,7,3,4,1,0,8,6,6,7,7,5,6,1,0,3,3,0,1,0,1,4,0,1,1,1,0,0,1,1,45
21,1,1,0,1,1,1,12,6,7,6,5,6,9,1,0,1,4,1,1,0,1,1,1,1,1,0,1,0,0,0,61
34,0,15,13,4,1,0,6,6,7,6,5,5,4,1,0,5,6,1,0,1,1,0,1,1,1,1,0,0,0,0,56
29,0,10,6,2,0,0,8,9,9,10,9,6,6,1,1,6,6,0,0,1,0,6,0,0,1,0,1,1,1,1,64
18,1,0,0,4,0,1,12,8,7,9,7,5,4,0,0,9,7,1,0,0,0,6,0,1,0,0,1,1,1,1,47
39,1,21,9,1,1,1,8,5,6,5,5,9,7,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,67
27,0,9,6,3,0,1,14,7,6,8,8,6,9,1,0,2,8,0,0,1,0,2,0,1,1,1,0,0,1,1,59
43,1,22,9,1,1,1,10,9,8,10,10,5,9,1,0,8,8,0,1,1,0,2,1,1,0,0,0,0,0,1,75
40,1,22,17,4,0,0,14,8,7,8,9,8,9,0,0,1,3,1,1,0,0,0,1,1,0,1,1,1,1,1,84
44,0,26,9,1,0,1,14,9,8,8,8,5,3,0,1,6,9,1,1,0,1,4,1,1,0,0,0,1,1,0,84
20,1,1,0,4,1,1,8,9,8,9,10,7,4,1,0,8,7,0,1,1,1,5,1,1,0,0,0,1,1,1,45
33,0,14,5,2,1,1,6,8,8,8,7,6,8,1,1,6,3,1,0,1,1,5,1,0,0,0,1,0,1,0,64
42,0,21,11,2,1,0,12,5,4,6,5,7,9,1,1,1,2,0,0,0,1,4,0,1,0,0,1,1,1,1,82
38,0,20,6,2,0,0,8,7,7,7,6,6,7,1,0,6,7,1,1,1,1,6,1,1,0,0,0,1,0,0,65
27,1,9,5,3,1,0,14,8,7,9,7,8,4,0,1,2,3,0,0,1,1,3,0,0,0,0,0,1,1,0,56
22,0,4,2,0,0,0,6,6,5,7,6,5,9,0,1,3,8,1,0,0,0,5,0,0,1,1,0,0,0,0,46
36,1,15,6,3,0,0,8,7,8,6,7,9,4,1,0,3,3,0,0,1,0,6,1,0,0,0,0,0,1,0,59
30,0,10,6,3,0,1,12,4,3,5,4,9,6,1,0,1,5,1,1,0,1,7,0,0,1,0,1,0,0,1,51
23,1,5,2,2,0,1,6,9,8,10,10,7,9,1,0,2,1,1,1,0,0,6,0,0,0,0,0,0,1,1,55
19,0,0,0,0,1,0,12,8,8,8,9,5,9,1,0,6,5,1,0,1,1,2,1,1,1,0,1,0,1,0,55
39,0,19,15,4,1,0,12,5,6,5,5,5,5,0,0,8,9,1,0,1,1,0,1,0,0,0,0,1,1,1,67
18,1,0,0,0,0,0,8,7,7,6,8,7,6,0,1,8,8,1,0,1,0,2,1,0,1,0,0,0,1,0,43
34,1,14,6,2,0,0,8,7,8,6,6,4,7,1,0,6,5,1,0,0,0,1,1,0,0,0,1,1,1,0,48
30,1,9,6,3,1,1,12,5,6,4,5,9,3,1,1,6,2,1,1,1,1,1,0,0,0,1,1,0,1,1,52
21,0,3,1,0,0,1,14,7,6,8,6,7,5,1,1,8,6,1,0,0,1,7,1,0,1,0,0,0,0,1,57
28,0,8,6,2,1,0,12,4,4,5,4,7,5,0,1,7,4,0,1,0,1,0,0,1,0,0,1,1,0,0,50
47,0,28,14,1,1,0,8,6,7,7,5,3,4,1,1,3,5,0,0,1,0,1,0,1,0,0,0,0,1,1,70
23,1,3,1,2,0,0,12,4,4,5,5,3,5,0,1,5,1,0,0,1,0,4,1,1,1,1,1,1,1,0,42
20,0,0,0,3,1,1,10,7,7,7,6,5,7,1,1,5,9,0,0,0,1,3,0,1,0,0,1,1,0,0,43
34,1,14,10,4,1,1,12,6,6,5,5,9,7,1,0,1,3,0,0,0,0,2,1,1,0,1,0,0,0,1,81
27,1,7,3,1,1,1,12,7,8,8,6,5,7,1,0,8,3,0,1,1,1,7,1,0,0,1,0,1,1,0,72
36,0,15,7,0,0,1,12,4,4,4,4,4,3,1,1,3,8,1,1,0,1,6,1,1,1,1,1,0,1,1,48
32,0,13,10,4,1,1,10,4,4,5,4,3,7,1,0,9,3,1,0,1,0,2,0,0,0,1,0,0,1,0,43
31,0,12,3,0,0,1,6,8,8,8,8,7,9,0,1,1,8,0,1,1,0,5,0,1,0,0,1,1,0,0,60
18,0,0,0,2,0,1,12,5,5,5,4,8,5,1,0,9,9,0,1,1,1,3,0,1,1,1,0,0,0,0,60
28,1,9,4,1,1,0,8,6,7,7,5,9,7,1,1,9,9,0,0,1,0,2,1,1,1,1,0,0,1,1,66
20,0,0,0,3,0,1,10,9,9,9,8,3,9,0,1,7,7,1,1,1,1,3,1,0,0,1,0,0,1,1,67
36,1,18,8,0,0,1,8,6,6,7,6,4,4,0,1,6,4,1,0,0,0,5,0,0,1,0,1,0,1,0,46
18,0,0,0,0,0,0,14,9,8,8,10,7,8,1,0,9,9,0,1,1,0,6,1,0,0,1,0,0,1,0,73
28,0,7,3,3,1,0,12,5,5,6,4,8,7,0,1,2,2,0,0,1,1,2,0,1,1,0,0,1,1,0,70
24,1,3,1,0,0,0,12,5,6,6,5,7,4,1,1,5,7,1,1,1,0,7,0,0,1,1,0,1,0,1,63
31,1,13,4,2,1,1,8,6,6,5,5,4,4,1,0,8,6,1,0,1,1,6,0,1,1,0,0,1,1,1,52
30,0,9,4,0,1,1,8,7,6,7,6,4,4,1,0,3,5,0,0,0,0,4,0,0,1,0,0,1,1,1,57
30,1,11,6,2,1,1,10,8,9,9,9,4,8,1,0,7,1,1,0,0,0,6,0,1,1,0,0,1,0,0,65
28,1,9,7,3,1,0,8,9,8,9,10,3,6,0,0,4,9,0,0,0,0,5,0,1,1,1,0,1,0,0,47
37,0,17,14,3,0,0,12,7,6,6,6,4,8,0,1,6,7,0,0,0,0,4,1,1,0,1,0,1,0,0,68
18,1,0,0,1,1,0,8,7,7,8,7,8,8,0,0,6,4,1,0,0,1,6,1,1,0,1,0,1,0,1,50
46,0,28,16,2,0,0,10,7,6,8,7,6,9,1,0,3,5,0,0,1,0,1,0,0,1,1,1,1,0,1,86
35,1,16,8,0,0,0,10,8,9,9,7,3,4,1,1,4,2,1,0,1,1,4,1,0,0,1,0,1,0,0,56
18,0,0,0,3,1,0,14,7,8,8,7,6,7,1,0,6,5,0,1,0,0,4,1,0,0,1,0,0,0,0,64
19,1,1,0,1,0,1,8,6,5,5,7,3,9,0,0,1,4,0,0,1,1,3,0,0,1,0,1,0,0,1,52
29,0,10,6,3,0,0,8,7,8,8,6,7,4,0,1,1,3,0,1,0,1,5,0,0,0,1,0,1,0,0,49
36,0,17,10,1,1,1,6,4,4,5,5,9,5,0,0,4,6,1,0,1,0,7,1,0,0,0,0,0,0,1,48
28,1,9,5,1,0,0,14,9,8,8,8,4,5,1,1,3,3,1,1,1,1,5,0,0,1,1,0,0,0,1,65
34,1,14,6,0,1,0,8,6,5,5,7,7,6,1,0,6,5,1,0,1,1,2,1,0,1,1,1,1,0,1,48
37,0,16,12,1,1,0,8,9,8,8,10,8,7,0,0,9,5,1,1,1,1,1,1,1,1,1,1,0,0,1,77
24,1,6,2,3,0,0,12,9,9,10,8,4,6,0,1,2,8,0,0,0,0,2,1,1,0,0,1,1,1,0,58
18,1,0,0,1,1,0,10,6,5,6,7,8,3,0,0,9,9,0,0,1,1,5,0,1,1,0,0,1,0,1,49
29,1,10,6,2,1,1,8,6,7,5,7,7,7,0,0,3,7,0,1,0,1,7,0,1,0,1,0,1,1,1,62
45,0,27,13,4,0,0,12,4,4,3,4,6,9,1,0,7,8,1,1,1,0,6,0,1,0,1,0,0,0,0,85
44,1,26,19,2,1,1,12,7,8,7,8,6,9,1,1,9,2,1,1,0,1,1,1,1,1,0,0,1,0,1,78
27,0,8,6,1,1,1,10,7,7,8,7,3,8,0,0,1,8,0,1,1,1,2,0,1,0,0,1,0,0,1,52
32,1,13,7,4,0,1,8,5,4,6,5,7,6,0,0,5,2,1,1,0,0,2,0,0,1,0,0,1,1,1,51
26,0,6,5,4,1,1,12,5,6,5,5,4,3,1,0,5,7,0,1,1,0,7,1,0,1,0,0,1,0,1,49
29,1,10,8,3,0,0,8,9,9,9,9,3,7,0,1,5,1,0,0,1,0,5,0,1,0,1,1,0,1,1,53
28,0,8,6,4,1,0,8,5,4,5,5,6,6,0,0,7,9,0,0,0,0,1,1,1,0,1,0,1,1,0,44
40,0,22,14,1,0,1,10,8,7,8,8,8,8,1,1,2,2,1,1,0,1,2,1,1,0,1,0,1,0,1,77
18,0,0,0,4,0,0,8,6,7,6,5,5,9,0,1,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,63
44,1,23,16,4,0,0,14,9,10,8,10,6,8,1,1,2,4,1,0,1,1,1,0,1,0,0,1,1,1,1,92
30,1,9,5,0,0,1,8,7,6,8,8,9,5,0,0,9,4,0,1,1,0,6,0,0,0,1,0,0,0,0,53
27,1,8,4,3,0,1,6,6,7,6,6,3,8,1,0,8,9,0,0,0,0,7,0,1,1,0,0,1,1,1,43
35,1,15,11,2,0,0,14,7,7,8,8,6,3,0,1,4,8,1,1,0,0,1,1,0,0,0,1,0,1,0,68
28,1,8,6,4,1,0,12,4,4,5,5,9,7,1,1,4,2,0,1,1,0,3,1,1,1,0,1,1,0,1,61
26,0,7,5,4,0,1,10,5,4,6,5,5,8,1,0,2,8,1,1,0,0,6,0,1,0,1,0,1,1,0,56
35,1,16,8,3,1,0,10,8,7,8,7,3,7,0,0,4,7,0,0,1,0,2,1,0,0,0,1,0,1,1,68
34,1,15,9,4,1,0,8,6,5,6,7,6,9,1,1,9,9,1,1,0,1,1,1,1,0,0,1,0,0,1,66
26,1,7,4,3,0,1,10,5,4,6,5,4,8,1,1,7,3,1,0,1,0,4,0,1,0,0,1,1,1,0,53
25,0,6,3,2,0,0,10,9,8,10,8,9,8,1,0,1,1,1,0,0,1,3,1,1,0,0,0,1,1,1,62
39,1,18,8,3,0,0,8,6,7,7,6,4,8,1,1,9,3,1,1,0,1,6,1,1,0,0,0,0,0,0,64
34,0,14,6,4,1,1,10,5,4,6,4,8,5,1,1,5,6,0,1,0,0,3,1,1,1,1,0,1,0,1,65
46,0,26,18,1,0,1,8,7,8,6,6,9,6,1,1,1,7,1,0,0,1,6,0,1,1,0,0,0,0,1,78
18,0,0,0,3,0,0,6,5,5,4,4,9,6,0,0,7,7,0,1,1,0,3,0,1,0,1,0,0,1,0,42
26,0,6,3,1,1,1,10,5,5,5,4,4,9,0,1,8,2,0,1,0,0,4,1,0,0,0,1,0,1,0,54
22,1,4,2,0,0,1,14,9,10,9,10,3,3,1,1,4,9,1,1,1,1,2,1,1,0,0,1,1,1,0,57
31,1,10,4,3,1,1,10,6,7,6,7,5,3,1,0,4,1,0,1,1,0,4,0,0,1,0,0,0,1,0,57
22,0,4,2,0,1,0,12,6,7,6,5,4,9,1,0,6,2,1,1,1,1,7,0,1,1,1,1,1,1,1,48
26,0,6,3,0,0,0,12,5,5,5,5,9,3,0,1,4,4,1,0,1,0,7,1,1,0,0,1,0,0,1,45
18,1,0,0,2,1,1,12,9,9,8,9,9,6,0,0,2,7,1,1,1,0,2,1,0,0,1,1,0,1,0,54
31,1,12,10,2,0,1,10,4,3,3,4,6,8,1,0,6,9,0,1,1,0,7,0,1,0,0,1,1,0,0,51
27,0,9,7,3,0,0,8,4,5,5,3,9,3,0,0,6,4,0,1,0,1,0,0,0,1,0,1,1,0,1,45
29,0,11,3,3,1,1,12,5,5,6,5,3,3,0,1,4,3,1,0,1,1,6,1,0,1,1,0,1,0,1,60
30,0,12,7,0,1,0,12,8,7,9,7,7,4,1,1,7,3,0,1,0,1,0,1,1,1,1,0,0,1,0,52
39,1,21,14,1,1,1,12,9,10,10,8,5,9,0,1,6,8,1,0,1,1,5,1,1,0,0,0,0,1,0,86
34,1,14,6,3,0,0,8,7,6,8,8,5,5,0,0,4,9,1,1,1,0,7,0,1,0,1,1,0,1,0,57
