age,gender,work_experience,canada_workex,dep_num,canada_born,citizen_status,level_of_schooling,fluent_english,reading_english_scale,speaking_english_scale,writing_english_scale,numeracy_scale,computer_scale,transportation_bool,caregiver_bool,housing,income_source,felony_bool,attending_school,currently_employed,substance_use,time_unemployed,need_mental_health_support_bool,employment_assistance,life_stabilization,retention_services,specialized_services,employment_related_financial_supports,employer_financial_supports,enhanced_referrals,success_rate
26,1,5,3,2,0,0,12,4,4,4,5,9,9,0,0,6,3,0,1,0,0,3,1,0,1,1,0,0,1,0,73
38,1,20,12,0,0,0,10,9,10,9,9,4,5,0,0,5,7,0,1,0,0,3,0,0,0,0,1,1,0,1,68
32,0,14,11,3,1,0,12,6,5,5,7,9,6,0,1,3,7,0,1,0,0,2,0,0,0,0,1,0,0,0,78
18,1,0,0,1,0,0,8,9,8,9,9,7,8,1,0,7,6,0,0,1,1,1,1,0,1,1,1,0,1,1,63
32,0,13,8,0,0,0,10,9,10,9,10,8,7,1,0,5,8,1,0,0,0,0,1,1,1,0,0,0,1,0,73
26,0,6,4,2,0,1,10,5,6,4,5,6,4,1,1,6,4,1,1,1,1,5,0,0,0,1,1,0,1,1,35
24,0,6,3,0,0,1,6,4,4,3,3,9,9,0,1,4,9,1,1,0,0,1,0,0,1,1,0,1,1,1,43
34,1,16,9,1,1,1,12,6,5,5,5,9,4,0,1,7,5,1,0,0,1,7,0,1,1,0,0,0,1,0,42
38,1,19,6,3,0,1,12,7,8,6,6,3,5,0,0,7,4,1,1,0,1,7,1,0,0,1,1,1,1,0,47
37,1,16,7,3,1,0,10,9,9,10,8,9,5,1,1,5,3,1,0,1,0,3,1,1,1,0,1,1,0,0,78
23,1,3,1,3,0,1,10,5,4,4,6,5,8,0,0,7,9,1,1,0,1,1,0,1,1,1,0,1,1,1,37
27,1,7,6,1,0,1,12,9,8,8,9,5,6,0,1,7,4,1,0,1,0,4,1,0,0,1,1,0,0,1,60
32,1,13,6,0,0,1,12,8,7,8,9,7,8,1,1,8,9,0,0,0,1,0,1,0,0,1,1,1,1,1,67
37,1,19,10,2,1,0,8,7,8,7,6,4,3,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,51
26,1,7,4,2,0,0,8,9,8,8,9,7,5,1,1,4,5,0,0,1,0,6,1,1,0,1,0,0,0,1,67
28,1,9,3,0,0,0,12,8,7,7,9,9,9,1,1,1,1,0,1,1,1,6,0,0,1,1,1,1,1,1,85
21,1,2,1,3,0,0,10,8,8,7,7,9,9,1,1,3,9,0,0,1,0,7,1,0,0,1,0,0,0,1,70
20,1,1,0,2,0,1,8,5,6,5,5,8,5,0,0,8,7,1,1,1,0,0,0,0,1,1,0,1,0,1,46
36,1,15,12,3,0,1,8,5,5,5,5,9,5,0,1,7,9,1,1,1,1,2,1,1,0,1,0,1,1,1,43
40,0,19,12,4,1,1,12,8,9,7,7,8,8,0,0,3,5,1,1,0,0,1,1,1,1,1,0,0,1,1,83
29,0,11,7,4,0,1,12,4,3,4,3,9,9,1,0,4,9,1,1,1,1,1,1,0,1,0,1,1,1,0,52
38,1,19,7,2,1,1,14,9,9,9,9,9,8,0,1,2,4,0,1,0,0,7,1,1,0,1,0,1,0,1,96
32,1,11,9,0,1,1,12,8,9,7,7,7,6,1,1,2,3,0,0,0,0,5,0,0,1,1,1,1,0,0,73
24,0,6,2,0,1,1,14,8,9,8,9,7,7,1,1,5,2,0,1,1,1,2,0,0,1,0,0,0,0,1,66
32,0,13,9,0,0,1,8,5,4,4,4,6,5,0,1,2,4,0,0,1,1,0,0,0,1,0,0,0,1,1,61
42,1,22,10,3,1,0,12,9,8,10,8,8,7,0,1,7,3,1,0,0,1,2,1,1,1,0,0,0,1,0,67
29,1,8,6,4,0,1,6,6,6,7,5,6,8,1,1,1,9,1,1,0,0,2,0,1,0,0,1,1,1,0,37
42,1,24,17,3,1,1,12,7,7,8,7,7,6,1,0,9,8,1,0,1,0,3,1,1,0,0,1,0,0,0,73
18,1,0,0,1,0,0,10,5,6,5,5,4,8,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,45
36,1,17,7,1,0,1,8,9,9,10,8,3,3,0,1,1,2,1,0,0,1,5,0,1,0,1,0,1,0,0,41
30,0,11,6,2,0,1,12,9,8,9,9,8,9,1,0,9,3,1,1,1,1,4,1,0,1,1,0,1,1,1,55
27,1,8,5,1,0,0,12,4,4,3,3,5,4,1,1,7,6,0,0,0,1,5,0,1,0,0,0,0,0,1,43
30,0,9,6,0,0,0,6,7,7,8,8,6,4,0,0,4,5,1,0,1,0,3,0,0,0,0,0,0,1,1,33
18,0,0,0,2,1,1,10,5,6,5,5,8,8,1,0,3,5,0,0,1,1,0,1,1,1,0,1,1,0,1,62
28,1,8,7,4,0,0,10,5,4,6,4,3,4,0,0,5,6,1,1,0,1,6,0,0,1,0,1,0,1,0,27
32,1,14,11,4,1,0,10,6,7,6,6,6,4,0,1,2,8,0,1,0,1,0,0,0,0,0,0,0,0,1,60
41,0,20,9,1,0,0,12,4,3,4,5,8,6,1,0,6,1,0,1,0,0,7,1,0,0,1,1,1,1,1,73
25,1,7,5,1,0,0,8,4,3,3,5,6,4,1,1,6,5,0,1,1,1,0,0,1,1,1,1,1,0,0,49
23,0,2,1,4,0,1,14,9,10,9,8,6,6,0,0,1,6,0,1,0,0,1,1,0,1,0,0,1,0,1,68
25,0,6,3,1,0,0,8,9,9,9,9,7,3,1,0,9,6,1,1,0,1,0,1,1,1,0,1,1,0,1,30
37,1,17,8,1,0,0,12,5,6,6,6,9,5,0,0,1,9,0,1,1,1,0,0,1,1,0,1,1,0,0,76
32,1,13,8,3,0,1,12,6,6,5,6,7,5,1,1,6,7,1,1,0,0,7,0,1,0,0,1,0,1,0,59
25,1,7,5,4,0,0,8,5,6,5,4,6,5,1,1,7,4,1,1,0,1,4,1,0,1,1,1,0,0,0,24
34,0,15,8,4,0,0,8,8,9,9,9,6,9,1,0,8,7,0,1,1,1,0,0,1,0,0,0,0,0,0,59
30,0,10,6,1,0,0,12,9,9,8,10,9,6,1,1,2,7,0,0,1,0,2,0,1,0,1,0,1,1,1,96
37,0,18,12,0,1,1,12,8,8,8,8,5,6,0,0,8,6,1,1,0,1,0,1,0,0,1,1,1,1,0,56
24,1,4,2,3,1,0,8,6,6,7,7,3,6,0,0,2,8,1,0,1,0,0,0,0,1,1,1,0,1,0,49
27,0,7,2,0,1,0,10,5,6,4,4,9,3,0,1,2,8,1,0,0,1,7,1,0,0,1,0,0,1,0,28
26,1,7,5,1,0,0,6,9,9,8,8,3,7,1,0,9,6,0,0,1,1,5,1,0,1,1,0,1,0,1,46
18,1,0,0,4,1,0,8,6,6,5,7,4,6,0,0,7,2,1,0,1,1,0,1,0,1,1,1,1,0,0,38
32,0,14,6,0,0,0,10,5,5,4,4,9,6,1,1,8,5,0,0,1,1,6,1,1,0,1,1,0,1,0,71
32,1,11,4,2,0,0,6,5,4,5,6,4,5,1,0,1,1,0,0,0,1,7,1,1,0,1,0,1,1,0,44
30,0,9,5,0,0,1,12,8,8,8,9,4,8,0,0,6,9,0,1,1,0,1,1,1,1,1,0,0,0,0,78
28,1,9,7,4,1,0,12,7,7,6,8,7,9,0,1,1,4,0,0,1,1,3,0,1,1,1,0,1,1,1,69
18,1,0,0,1,1,1,14,4,4,3,5,7,4,1,0,5,1,0,0,1,0,1,0,0,1,0,1,0,1,1,57
26,0,8,5,0,0,1,12,9,8,9,9,5,4,1,0,2,3,0,1,1,0,4,1,0,0,0,0,1,1,1,67
27,1,6,2,1,0,1,14,4,3,5,5,7,3,1,1,9,2,1,0,0,0,5,0,0,1,1,0,0,0,0,28
23,0,4,2,3,1,1,10,6,6,5,5,4,4,1,0,3,9,1,0,1,1,5,0,0,1,0,1,1,1,0,30
28,1,10,8,2,1,0,10,4,4,4,4,8,7,1,1,7,7,1,1,0,1,4,1,0,0,0,0,1,0,0,40
33,0,12,9,4,1,0,14,8,8,8,7,6,5,1,1,2,6,0,0,0,0,2,1,1,1,0,1,0,0,1,82
45,0,27,11,4,1,0,10,7,7,8,8,4,3,0,1,4,4,1,1,1,0,2,1,0,0,0,1,1,1,0,67
31,1,12,7,1,1,0,6,9,8,9,8,5,4,0,1,3,4,0,1,0,0,4,0,0,1,1,0,1,1,0,56
32,1,13,5,2,1,0,12,5,5,4,5,6,4,1,0,1,7,1,0,1,1,3,0,1,0,1,0,0,1,1,51
29,0,10,5,4,1,0,14,5,4,5,4,7,8,0,1,6,8,1,0,0,0,7,0,0,1,1,1,1,0,0,46
18,0,0,0,0,1,1,12,8,9,7,8,6,5,0,0,5,4,1,0,1,0,5,1,0,0,0,0,1,1,1,47
29,0,9,6,4,1,0,10,9,8,9,10,8,3,0,0,6,7,1,0,0,1,7,0,1,0,0,1,0,1,0,48
30,0,12,5,0,0,0,12,4,5,3,5,5,5,0,1,1,3,0,1,0,0,3,1,1,1,0,1,0,0,1,67
49,1,29,24,4,0,1,14,5,4,4,4,7,3,0,1,8,9,1,1,1,0,4,1,0,0,1,0,1,0,0,63
28,1,9,5,0,0,0,6,4,3,4,3,3,9,0,1,4,3,0,1,1,0,0,0,1,1,1,0,1,1,1,59
32,1,11,5,3,0,1,12,8,7,7,9,4,9,0,0,7,3,0,0,0,0,1,0,1,1,0,1,1,0,1,80
29,1,9,5,1,1,0,8,5,5,5,6,9,4,0,0,8,2,0,0,0,0,7,0,1,0,1,1,1,1,1,64
20,1,1,0,3,0,0,10,6,5,6,5,8,5,1,0,3,3,0,0,1,1,1,1,0,1,1,1,1,0,0,58
39,0,20,12,0,0,1,10,7,7,7,8,8,5,0,1,4,8,1,0,0,1,0,0,0,0,0,0,1,0,1,51
36,0,16,9,1,0,0,8,4,3,3,4,9,7,1,0,9,2,1,0,0,1,3,1,1,1,0,1,1,1,1,54
36,1,15,9,2,1,0,8,9,8,9,9,4,9,0,1,9,1,0,1,0,0,1,0,1,1,1,0,0,1,0,91
22,1,3,1,0,1,1,10,4,5,5,3,5,8,1,1,7,5,1,1,1,0,1,0,1,1,0,0,1,1,1,54
41,0,21,16,4,1,0,8,4,3,3,3,5,5,1,0,3,8,1,1,0,1,2,0,0,1,1,1,1,1,1,39
18,1,0,0,4,0,0,8,4,4,5,5,8,3,0,1,4,6,0,1,1,1,6,1,1,1,1,0,0,0,1,43
34,1,13,4,2,0,0,12,8,9,9,9,4,7,1,0,7,2,0,1,1,1,7,0,1,0,1,0,0,0,0,49
47,0,28,21,3,0,0,8,8,9,9,8,6,5,0,0,6,9,1,0,0,1,3,0,0,0,0,0,1,1,1,52
22,1,4,3,0,0,1,10,9,8,10,8,3,5,0,0,6,4,1,1,1,0,4,1,1,0,0,1,0,1,0,46
25,1,7,6,4,1,1,14,8,7,8,7,3,7,0,0,4,3,1,1,1,0,4,0,0,1,0,0,0,1,0,40
30,1,11,5,1,1,1,8,9,10,10,8,5,4,0,1,8,4,1,1,1,1,0,1,1,1,1,0,1,0,1,54
25,1,4,1,2,0,1,10,9,9,8,8,5,5,1,0,9,3,0,0,1,1,6,0,0,0,0,0,0,0,0,52
18,0,0,0,3,0,1,10,8,7,9,8,6,6,0,1,7,8,1,0,1,1,1,1,1,0,0,0,0,1,0,43
30,1,10,3,3,1,0,12,5,6,6,5,5,8,1,0,8,1,1,1,1,0,4,0,0,0,0,1,1,0,0,58
21,1,3,2,1,0,0,14,8,8,9,7,3,4,1,0,2,1,0,0,1,1,6,0,0,1,1,0,1,1,0,49
33,0,13,5,1,1,1,14,5,4,5,5,4,5,0,1,4,9,1,0,1,1,0,0,1,1,1,0,1,1,1,51
22,0,3,1,2,1,1,12,6,7,7,5,8,4,1,0,3,7,0,1,0,0,6,0,0,0,0,1,1,0,0,55
42,0,23,12,1,1,0,8,8,9,9,8,3,3,1,0,6,9,0,0,1,0,2,0,1,1,0,0,1,0,1,80
23,1,2,1,4,0,1,6,6,5,7,7,6,4,1,0,2,3,1,0,0,0,3,1,1,1,1,1,0,1,1,34
27,0,6,4,3,1,1,10,8,8,7,8,4,7,0,1,7,3,1,0,1,0,1,1,1,1,0,0,1,1,0,59
36,0,15,8,1,0,0,8,6,6,6,5,4,5,1,0,8,2,0,1,1,1,6,1,1,0,1,0,1,1,0,55
20,1,0,0,0,0,0,12,7,8,7,8,8,4,0,0,4,2,1,1,0,0,1,1,0,1,1,0,0,0,1,51
31,0,10,4,1,1,1,12,6,6,6,5,3,6,0,0,8,9,1,1,0,1,0,0,0,1,0,0,0,1,1,41
40,1,21,12,3,0,1,6,5,6,4,6,9,3,0,1,8,2,1,0,0,0,7,0,1,1,0,1,0,1,0,53
18,1,0,0,4,0,0,12,4,3,5,5,4,3,0,1,3,4,1,1,0,1,7,0,0,1,0,0,0,0,1,20
31,1,13,8,1,1,1,8,9,9,8,9,4,9,1,1,1,4,0,0,0,1,1,0,0,0,1,1,1,1,0,63
32,0,11,7,4,0,1,10,6,5,6,6,5,4,1,1,3,9,0,0,0,1,3,1,1,0,1,0,1,0,1,53
36,1,16,11,0,0,0,12,4,5,4,5,4,7,1,0,1,3,1,1,1,0,7,1,0,1,0,0,0,1,0,52
20,0,2,1,3,0,1,10,7,6,7,8,6,3,0,1,2,2,1,1,0,0,4,1,0,0,1,0,1,1,0,32
19,0,1,0,2,0,1,10,7,7,6,8,4,9,0,1,8,3,0,0,1,0,0,0,1,0,0,0,1,1,1,61
34,1,16,13,3,0,1,6,5,4,5,4,5,4,0,1,4,9,1,0,0,1,3,0,0,1,1,1,0,1,1,38
32,1,12,5,2,0,0,10,5,5,6,5,7,4,1,1,9,5,1,1,0,0,7,1,0,1,0,0,1,0,0,45
32,0,13,4,2,0,0,12,6,6,5,5,7,3,0,0,7,5,1,1,1,0,1,1,1,0,0,1,0,0,0,54
32,1,11,5,3,0,0,14,8,8,9,8,6,4,1,0,3,7,0,0,1,0,4,0,1,1,1,1,0,0,1,84
24,0,6,5,2,0,1,10,7,7,7,6,8,4,1,1,1,1,1,0,0,0,3,0,0,1,0,0,0,0,1,43
31,0,13,11,4,0,1,10,4,4,4,4,8,8,0,1,1,5,0,1,1,1,7,1,1,0,0,0,0,0,1,62
32,0,14,11,0,1,1,12,8,9,7,9,9,6,0,1,1,9,0,0,0,0,4,1,1,1,0,1,1,0,1,85
24,0,5,1,1,0,0,14,7,6,8,8,9,4,1,1,3,6,1,0,0,1,4,0,0,1,0,0,1,1,0,47
44,0,25,21,2,1,1,8,6,7,5,6,6,8,1,0,5,8,0,0,1,1,0,1,1,0,1,1,1,0,0,78
33,0,13,7,2,0,0,10,7,6,8,8,4,8,0,0,8,8,0,0,0,0,6,0,0,0,0,0,1,1,0,57
20,1,1,0,3,0,1,12,5,4,5,6,4,4,0,1,8,1,1,1,1,1,6,1,0,1,1,0,0,1,1,40
35,0,14,7,4,0,1,10,4,3,3,3,7,7,0,1,2,8,0,1,1,0,1,1,0,1,0,0,1,0,0,68
22,0,2,0,1,1,0,8,4,5,3,4,7,3,0,1,9,6,0,1,1,0,2,0,1,0,0,1,0,0,1,50
36,1,16,10,2,0,1,10,5,5,6,6,3,8,1,1,9,4,1,0,0,0,2,1,1,1,0,0,1,0,1,55
39,1,18,9,4,0,1,8,8,8,8,8,7,8,0,1,7,3,0,0,0,0,2,1,1,0,0,0,0,0,1,74
23,0,2,1,1,0,0,10,5,6,5,4,9,9,1,1,5,5,1,1,1,0,6,0,0,0,0,0,1,1,1,47
37,0,16,10,3,0,1,10,4,4,5,4,7,7,0,1,5,5,0,0,0,0,7,0,1,1,1,1,1,0,0,58
33,0,13,10,2,1,1,12,6,5,7,5,6,5,0,0,8,7,1,0,0,1,7,1,1,1,0,0,0,0,1,46
36,1,16,11,3,0,1,10,8,8,9,7,3,7,1,0,8,9,1,0,1,0,3,0,0,1,1,1,0,1,0,53
45,0,25,14,3,1,1,8,9,9,10,8,8,9,0,0,5,1,0,1,1,1,2,1,0,0,0,0,1,1,1,83
28,0,7,5,2,0,0,8,7,7,8,8,3,5,1,1,6,9,0,0,0,1,6,1,0,1,1,1,0,0,1,45
23,1,2,1,4,0,1,12,9,8,9,8,4,5,0,0,6,3,1,0,1,0,5,0,1,1,1,0,0,0,0,48
22,1,4,1,4,1,0,8,6,6,6,6,4,7,1,1,6,6,1,1,0,0,5,1,1,1,0,0,0,0,0,45
23,1,4,2,3,1,1,10,9,9,8,9,3,6,1,1,5,6,1,1,0,0,1,1,1,1,0,0,0,1,0,56
29,0,11,5,3,0,1,8,8,8,8,9,3,7,1,1,9,4,1,1,1,1,6,0,1,1,0,1,1,1,0,40
32,1,11,3,0,1,1,12,4,5,5,5,4,8,0,0,1,2,0,0,1,1,7,1,1,0,0,1,1,0,1,55
32,0,12,8,1,0,0,10,4,5,4,3,9,3,1,0,3,5,0,1,0,0,2,0,1,0,1,0,0,1,1,66
36,1,15,12,3,0,1,10,6,6,6,5,6,7,1,1,7,3,0,0,0,1,6,1,0,0,0,0,1,0,0,62
30,1,11,4,3,0,1,10,9,10,9,8,6,6,0,0,9,4,0,1,0,1,4,0,1,0,0,1,0,1,1,58
41,0,23,18,1,1,0,12,8,9,7,9,6,7,1,0,2,6,1,1,1,1,6,1,1,1,1,0,1,0,0,68
27,0,9,7,2,1,0,10,7,6,6,8,6,6,1,0,4,7,0,1,1,1,5,1,0,0,1,0,0,0,0,52
51,1,31,26,4,0,1,12,9,10,10,9,4,3,0,0,8,2,1,1,1,0,4,0,0,1,1,1,1,0,1,76
35,0,17,7,2,0,0,12,9,10,10,8,9,4,0,1,5,3,0,0,1,1,4,0,1,0,1,1,0,0,1,63
23,0,5,4,1,0,0,14,7,7,6,6,5,6,0,1,8,7,0,0,0,0,6,1,1,0,0,0,0,1,1,67
21,1,0,0,1,1,1,8,5,4,5,5,7,6,1,0,2,5,0,0,0,1,2,0,1,0,1,1,0,1,1,62
33,0,15,9,0,1,0,14,6,5,6,6,7,8,1,0,8,4,1,1,0,1,1,0,0,0,1,0,0,0,1,50
28,0,10,3,0,0,1,6,8,7,7,8,7,6,1,0,6,4,0,0,0,1,1,0,1,0,1,0,1,1,0,50
35,1,17,5,4,0,0,10,6,7,7,6,7,3,0,1,5,9,0,1,1,1,2,0,0,0,1,0,0,0,1,60
33,0,13,9,3,1,0,12,7,7,7,6,4,5,0,0,2,9,0,1,1,0,1,1,1,1,1,1,0,0,0,70
29,0,9,5,1,1,1,8,8,7,9,9,5,6,1,1,7,7,0,0,1,0,5,0,0,0,1,0,0,1,1,63
23,0,2,0,0,1,1,8,4,3,4,3,4,9,1,0,1,1,1,1,0,0,2,1,1,0,0,0,0,0,1,37
18,1,0,0,2,1,1,8,4,5,5,4,5,3,0,0,6,1,1,1,0,0,1,0,0,1,1,1,1,1,1,31
26,0,6,4,0,0,0,10,8,7,8,9,4,8,1,1,3,3,0,1,1,0,0,0,0,0,0,1,1,1,0,69
36,0,16,4,2,1,1,10,6,6,7,5,9,9,1,1,6,3,1,1,0,0,0,0,0,1,0,1,1,0,0,83
31,0,10,7,0,1,1,12,6,5,7,6,3,8,0,1,1,7,1,1,0,0,1,1,0,0,1,1,1,0,0,57
20,0,1,0,2,0,1,12,4,4,5,5,5,4,1,1,1,2,1,0,0,1,4,0,1,1,1,1,1,0,0,33
31,0,13,5,0,1,0,12,4,4,3,5,7,6,0,0,2,8,0,0,0,0,7,1,0,1,0,1,1,1,0,62
33,1,13,6,0,1,1,8,7,7,8,8,5,5,1,1,7,1,0,1,0,1,5,0,1,1,1,1,0,1,0,56
22,0,1,0,4,0,1,14,8,9,7,7,8,3,1,1,4,8,1,1,1,0,0,0,1,1,0,1,1,1,1,56
31,1,10,5,3,0,0,8,6,7,5,6,6,4,1,1,4,9,1,0,1,0,7,0,0,0,0,0,1,0,1,32
30,0,9,4,1,0,1,8,7,7,8,6,5,5,1,0,4,5,0,1,0,0,7,0,0,1,1,0,1,0,1,62
20,1,0,0,3,0,1,6,6,6,5,5,8,4,0,1,5,4,0,0,0,0,5,0,0,1,0,1,1,1,1,42
32,0,14,9,4,1,1,10,4,3,3,3,6,5,0,0,2,6,1,0,0,0,6,1,0,1,0,0,0,1,1,38
34,1,15,4,2,0,1,8,8,7,7,9,8,7,1,0,7,6,1,1,1,1,3,0,1,1,1,0,0,1,0,61
38,0,20,11,3,0,0,8,5,4,5,5,6,7,1,1,3,8,1,1,0,1,5,1,0,1,1,0,1,1,0,45
38,0,17,14,1,1,1,8,8,9,9,7,3,7,1,0,3,8,0,1,0,1,2,0,0,1,1,0,0,0,1,67
18,0,0,0,1,0,1,8,9,8,8,9,5,4,0,1,2,1,0,0,0,0,7,0,0,0,1,1,0,1,0,42
22,0,3,1,2,0,1,10,5,5,6,6,8,7,1,0,6,9,1,0,0,0,3,0,1,0,1,1,0,1,0,45
34,1,16,12,1,0,1,12,7,7,6,6,9,3,0,0,4,1,1,1,1,1,7,0,0,0,0,1,0,0,0,53
34,0,13,8,4,1,1,12,5,6,6,5,3,3,0,1,4,3,1,1,0,0,1,0,0,1,1,1,1,1,0,53
34,0,13,8,3,1,0,8,5,6,4,6,7,7,1,1,8,7,0,0,1,1,1,0,0,0,1,0,0,0,1,62
60,0,42,13,1,1,1,8,7,6,7,6,5,5,0,0,2,5,0,0,0,1,6,1,0,1,1,1,1,0,1,83
34,0,13,4,3,1,1,14,8,9,8,7,4,5,0,1,7,6,1,0,0,0,7,0,1,0,0,0,1,1,0,53
39,1,21,14,0,0,1,6,7,7,7,7,4,4,0,1,2,8,0,0,0,0,4,0,0,0,0,1,0,0,1,60
